appendix;page;row_num;plot_num_plan;cadastral_number;storeys;address;area_cadastral_m2;area_preliminary_m2;area_use_right_m2;area_withdrawal_m2;land_category;land_use_type;notes;restrictions;easement_area_m2;compensation_sum
3;53;122;166;90:11:130701:347;Частная;Республика Крым, муниципальный район Сакский, сельское поселение Лесновское, село Прибрежное, улица Дачная, земельный участок 80;1000.0;1000.0;812.0;188.0;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;Изымается часть земельного участка за границами полосы постоянного отвода, т.к. ее размеры не удовлетворяют предельно минимальным для данного вида разрешенного использования (согласно нормам Закона Республики Крым от 15 января 2015 г. N 66-ЗРК/2015).;90:11:130701:3815 Жилой дом;54.0;Частная
3;53;123;167;90:11:130701:40;Частная;Республика Крым, Сакский район, на территории Лесновского сельского совета, индивидуальный участок № 20;1000.0;45.0;45.0;;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;;;;
3;53;124;168;90:11:130701:41;Частная;Республика Крым, р-н Сакский, на территории Лесновского сельского совета, индивидуальный участок № 22;1000.0;63.0;63.0;;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;;;;
3;53;125;169;90:11:130701:438;Частная;Республика Крым, м. р-н Сакский, с.п. Лесновское, с Прибрежное, ул Дачная, з/у 104;1000.0;73.0;73.0;;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;;;;
3;53;126;170;90:11:130701:439;Частная;Российская Федерация, Республика Крым, Сакский муниципальный район, Лесновское сельское поселение, с. Прибрежное, ул. Дачная, земельный участок 106;1000.0;72.0;72.0;;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;;;;
3;54;127;171;90:11:130701:50;Частная;Республика Крым, р-н Сакский, Лесновский сельский совет, за границами населенного пункта;897.0;897.0;349.0;548.0;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;Изымается часть земельного участка за границами полосы постоянного отвода, т.к. ее размеры не удовлетворяют предельно минимальным для данного вида разрешенного использования (согласно нормам Закона Республики Крым от 15 января 2015 г. N 66-ЗРК/2015).;;;
3;54;128;172;90:11:130701:509;Частная;Республика Крым, Сакский р-н, Лесновский сельский совет, Прибрежное село, Дачная улица, земельный участок 40;1000.0;1000.0;919.0;81.0;Земли сельскохозяйственного назначения;Ведение дачного хозяйства;Изымается часть земельного участка за границами полосы постоянного отвода, т.к. ее размеры не удовлетворяют предельно минимальным для данного вида разрешенного использования (согласно нормам Закона Республики Крым от 15 января 2015 г. N 66-ЗРК/2015).;;;
3;54;129;173;90:11:130701:54;Частная;Республика Крым, Сакского района, на территории Лесновского сельского совета, индивидуальный участок № 133;1000.0;304.0;304.0;;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;;;;
3;54;130;174;90:11:130701:600;Частная;Республика Крым, Сакский район, на территории Лесновского сельского совета, индивидуальный участок № 50;1000.0;1000.0;873.0;127.0;Земли сельскохозяйственного назначения;Ведение дачного хозяйства;Изымается часть земельного участка за границами полосы постоянного отвода, т.к. ее размеры не удовлетворяют предельно минимальным для данного вида разрешенного использования (согласно нормам Закона Республики Крым от 15 января 2015 г. N 66-ЗРК/2015).;;;
3;54;131;175;90:11:130701:634;Частная;Республика Крым, р-н Сакский, на территории Лесновского сельского совета, индивидуальный участок №52;1000.0;1000.0;900.0;100.0;Земли сельскохозяйственного назначения;Ведение дачного хозяйства;Изымается часть земельного участка за границами полосы постоянного отвода, т.к. ее размеры не удовлетворяют предельно минимальным для данного вида разрешенного использования (согласно нормам Закона Республики Крым от 15 января 2015 г. N 66-ЗРК/2015).;;;
3;54;132;176;90:11:130701:728;Частная;Республика Крым, Сакский р-н, Лесновский с/с, уч 137;1000.0;1000.0;426.0;574.0;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Изымается часть земельного участка за границами полосы постоянного отвода, т.к. ее размеры не удовлетворяют предельно минимальным для данного вида разрешенного использования (согласно нормам Закона Республики Крым от 15 января 2015 г. N 66-ЗРК/2015).;;;
3;54;133;177;90:11:130701:73;Частная;Республика Крым, р-н Сакский, Лесновский сельский совет, за границами населенного пункта;897.0;287.0;287.0;;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;;;;
3;54;134;178;90:11:130701:98;Частная;Республика Крым, на территории Лесновского сельского совета Сакского района, индивидуальный участок № 135;1000.0;303.0;303.0;;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;;;;
3;54;135;179;90:11:220301:545;Частная;Республика Крым, р-н Сакский, на территории Лесновского сельского совета;1000.0;352.0;352.0;;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;;;;
3;54;136;180;90:18:010179:20;Муниципальная/Аренда;"Республика Крым, г Евпатория, Симферопольское шоссе, между ""Аквапарком"" и развлекательным комплексом ""Солнышко""";171558.0;10026.0;10026.0;;Земли населенных пунктов;Туристическое обслуживание;;"90:18:010181:4 Нежилое здание; 90:18:010181:5 Нежилое здание";;Частная
3;54;137;181;90:18:000000:1449;Муниципальная/Аренда;Российская Федерация, Российская Федерация, Республика Крым, городской округ Евпатория, г. Евпатория, ул. Симферопольская;3846.0;379.0;379.0;;Земли населенных пунктов;Туристическое обслуживание;;;;
3;54;138;182;90:18:010176:79;Муниципальная/Аренда;Российская Федерация, Республика Крым, городской округ Евпатория, город Евпатория, улица Симферопольская, земельный участок 2х;10780.0;1418.0;1418.0;;Земли населенных пунктов;Туристическое обслуживание;;"90:18:000000:1451 Наружные сети газоснабжения; 90:18:000000:1272 Кабельная линия 10 кВ.";;Частная
3;54;139;183;90:18:000000:1418;Муниципальная/Аренда;Российская Федерация, Российская Федерация, Республика Крым, городской округ Евпатория, г. Евпатория, ул. Симферопольская;16146.0;1451.0;1451.0;;Земли населенных пунктов;Туристическое обслуживание;;;;
3;55;140;184;90:18:000000:710;Муниципальная/Аренда;Республика Крым, Евпатория г, Эскадронная ул, 4;4581.0;2366.0;2366.0;;Земли населенных пунктов;Железнодорожный транспорт, земельные участки (территории) общего пользования;;;;
3;55;141;185;90:18:000000:858;Муниципальная/Оператив ное управление;Республика Крым, Евпатория г, Революции ул;32187.0;1969.0;1969.0;;Земли населенных пунктов;Земельные участки (территории) общего пользования;;"90:18:000000:1529 Трамвайные пути маршрута №1; 90:18:000000:1530 Контактная сеть трамвайного пути маршрута №1";;Муниципальная
3;55;142;193;90:18:000000:1552;Муниципальная;Российская Федерация, Республика Крым, г Евпатория;3887.0;49.0;49.0;;Земли населенных пунктов;Гидротехнические сооружения;;90:00:000000:653 Инженерная защита от подтопления г. Евпатории и сел Сакского района (1-я очередь);;Государственная/Оперативное управление
3;55;143;194;90:18:000000:670;Федеральная;Республика Крым, Евпатория г;862991.0;85191.0;85191.0;;Земли населенных пунктов;Железнодорожный транспорт;;90:18:000000:1272 Кабельная линия 10 кВ.;;"Государственная; Частная"
3;55;144;195;90:18:010182:598;Федеральная;Республика Крым, Евпатория г;505.0;238.0;238.0;;Земли населенных пунктов;Железнодорожный транспорт;;;;
3;55;145;196;90:11:130701:650;Частная;Республика Крым, Сакский район, на территории Лесновского сельского совета, индивидуальный участок № 164;1000.0;1000.0;628.0;372.0;Земли сельскохозяйственного назначения;Ведение дачного хозяйства;Изымается часть земельного участка за границами полосы постоянного отвода, т.к. ее размеры не удовлетворяют предельно минимальным для данного вида разрешенного использования (согласно нормам Закона Республики Крым от 15 января 2015 г. N 66-ЗРК/2015).;;;
