appendix;page;row_num;plot_num_plan;cadastral_number;address;area_cadastral_m2;storeys;land_category;land_use_type;notes
2;40;69;70;90:18:010176:81;Республика Крым, Евпатория г, Симферопольская ул, д 2Ц;7702.0;Муниципальная/Арен да;Земли населенных пунктов;Туристическое обслуживание;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;40;70;72;90:18:010179:2176;Российская Федерация, Российская Федерация, Республика Крым, городской округ Евпатория, г. Евпатория, ул. Симферопольская;4726.0;Муниципальная/Арен да;Земли населенных пунктов;Туристическое обслуживание;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;40;71;73;90:18:010179:2177;Российская Федерация, Российская Федерация, Республика Крым, городской округ Евпатория, г. Евпатория, ул. Симферопольская;10512.0;Муниципальная/Арен да;Земли населенных пунктов;Туристическое обслуживание;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;40;72;74;90:18:010179:3;"Республика Крым,г.Евпатория,ул.Симферопольская, в районе железнодорожной платформы""54 км""";1000.0;Частная;Земли населенных пунктов;"Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов)";Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;40;73;75;90:11:000000:220;Республика Крым, р-н Сакский, на територии Лесновского сельского совета, индивидуальный участок №134;1000.0;Частная;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;40;74;76;90:11:000000:224;"Республика Крым, Сакский район, территория Лесновского сельского совета, западнее пансионата ""Прибрежный"", севернее полосы отвода Приднепровской железной дороги участок № 43";1000.0;Частная;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;40;75;77;90:11:130701:105;Республика Крым, Сакский район, на территории Лесновского сельского совета, индивидуальный участок № 144;1000.0;Частная;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;40;76;78;90:11:130701:633;Республика Крым, р-н Сакский, на территории Лесновского сельского совета, индивидуальный участок 65;1000.0;Частная;Земли сельскохозяйственного назначения;Ведение дачного хозяйства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;40;77;79;90:11:130701:1071;Республика Крым, Сакский р-н, Лесновский с/с, уч 175;1000.0;Частная;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;41;78;80;90:11:130701:1072;Республика Крым, Сакский р-н, Лесновский с/с, уч 132;1000.0;Сведения отсутствуют;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;41;79;81;90:11:130701:1073;Республика Крым, Сакский р-н, Лесновский с/с, уч 63;1000.0;Частная;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;41;80;82;90:11:130701:1087;Республика Крым, Сакский р-н, Лесновский с/с, уч 101;1000.0;Частная;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;41;81;83;90:11:130701:1108;Республика Крым, Сакский р-н, Лесновский с/с, уч 9, за пределами населенного пункта;10000.0;Сведения отсутствуют;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;41;82;84;90:11:130701:1115;Республика Крым, Сакский р-н, Лесновский с/с, уч 16, за пределами населенного пункта;10000.0;Сведения отсутствуют;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;41;83;85;90:11:130701:1129;Республика Крым, Сакский р-н, Лесновский с/с, уч 40;1000.0;Сведения отсутствуют;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;41;84;86;90:11:130701:1133;Республика Крым, Сакский р-н, Лесновский с/с, уч 37;1000.0;Частная;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;41;85;87;90:11:130701:1134;Республика Крым, Сакский р-н, Лесновский с/с, уч 35;1000.0;Частная;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;41;86;88;90:11:130701:115;Республика Крым, муниципальный район Сакский, сельское поселение Лесновское, село Прибрежное, улица Дачная, земельный участок 78;1000.0;Частная;Земли сельскохозяйственного назначения;Ведение садоводства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;41;87;89;90:11:130701:1150;Российская Федерация, Республика Крым, муниципальный район Сакский, сельское поселение Лесновское, село Прибрежное, улица Дачная, земельный участок 65;1000.0;Частная;Земли сельскохозяйственного назначения;Ведение садоводства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;41;88;90;90:11:130701:1152;Республика Крым, Сакский р-н, Лесновский с/с, уч 145;1000.0;Частная;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;41;89;91;90:11:130701:1165;Республика Крым, Сакский р-н, Лесновский с/с, за пределами населенного пункта;1000.0;Частная;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;41;90;92;90:11:130701:1166;Республика Крым, Сакский р-н, Лесновский с/с, за пределами населенного пункта;1000.0;Частная;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;41;91;93;90:11:130701:1183;Республика Крым, Сакский р-н, Лесновский с/с, уч 139;1000.0;Частная;Земли сельскохозяйственного назначения;Ведение садоводства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;41;92;94;90:11:130701:1184;Республика Крым, Сакский р-н, Лесновский с/с, уч 66;1000.0;Сведения отсутствуют;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
